Rank 1 Artist : MSG워너비(M.O.M), Title : 바라만 본다
Rank 2 Artist : aespa, Title : Next Level
Rank 3 Artist : 이무진, Title : 신호등
Rank 4 Artist : 방탄소년단, Title : Permission to Dance
Rank 5 Artist : 방탄소년단, Title : Butter
Rank 6 Artist : 태연 (TAEYEON), Title : Weekend
Rank 7 Artist : 헤이즈 (Heize), Title : 헤픈 우연
Rank 8 Artist : 브레이브걸스, Title : 치맛바람 (Chi Mat Ba Ram)
Rank 9 Artist : 오마이걸 (OH MY GIRL), Title : Dun Dun Dance
Rank 10 Artist : Justin Bieber, Title : Peaches (Feat. Daniel Caesar & Giveon)
Rank 11 Artist : MSG워너비(정상동기), Title : 나를 아는 사람
Rank 12 Artist : 브레이브걸스, Title : 롤린 (Rollin')
Rank 13 Artist : TWICE (트와이스), Title : Alcohol-Free
Rank 14 Artist : 방탄소년단, Title : Dynamite
Rank 15 Artist : 조정석, Title : 좋아좋아
Rank 16 Artist : 아이유, Title : 라일락
Rank 17 Artist : STAYC(스테이씨), Title : ASAP
Rank 18 Artist : 이무진, Title : 비와 당신
Rank 19 Artist : 빅마마, Title : 하루만 더
Rank 20 Artist : 조이 (JOY), Title : 안녕 (Hello)
Rank 21 Artist : 아이유, Title : Celebrity
Rank 22 Artist : 브레이브걸스, Title : 운전만해 (We Ride)
Rank 23 Artist : MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인), Title : 상상더하기
Rank 24 Artist : 호미들, Title : 사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
Rank 25 Artist : 라붐 (LABOUM), Title : 상상더하기
Rank 26 Artist : SG 워너비, Title : Timeless
Rank 27 Artist : ASH ISLAND, Title : 멜로디
Rank 28 Artist : 아이유, Title : 내 손을 잡아
Rank 29 Artist : 송이한, Title : 밝게 빛나는 별이 되어 비춰줄게
Rank 30 Artist : SG 워너비, Title : 넌 좋은 사람
Rank 31 Artist : 디핵 (D-Hack), Title : OHAYO MY NIGHT
Rank 32 Artist : Jawsh 685, Title : Savage Love (Laxed - Siren Beat) (BTS Remix)
Rank 33 Artist : 경서, Title : 밤하늘의 별을(2020)
Rank 34 Artist : 방탄소년단, Title : 작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
Rank 35 Artist : SG 워너비, Title : 라라라
Rank 36 Artist : BLACKPINK, Title : Lovesick Girls
Rank 37 Artist : 양요섭, Title : LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
Rank 38 Artist : 오마이걸 (OH MY GIRL), Title : Dolphin
Rank 39 Artist : MSG워너비, Title : 난 너를 사랑해
Rank 40 Artist : 에픽하이 (EPIK HIGH), Title : 비 오는 날 듣기 좋은 노래 (Feat. Colde)
Rank 41 Artist : 장범준, Title : 잠이 오질 않네요
Rank 42 Artist : 정동하, Title : 추억은 만남보다 이별에 남아
Rank 43 Artist : 아이유, Title : 에잇(Prod.&Feat. SUGA of BTS)
Rank 44 Artist : 아이유, Title : Blueming
Rank 45 Artist : ITZY (있지), Title : 마.피.아. In the morning
Rank 46 Artist : 산들, Title : 취기를 빌려 (취향저격 그녀 X 산들)
Rank 47 Artist : 장범준, Title : 고백
Rank 48 Artist : 조정석, Title : 아로하
Rank 49 Artist : 경서예지, Title : 다정히 내 이름을 부르면
Rank 50 Artist : AKMU (악동뮤지션), Title : 어떻게 이별까지 사랑하겠어, 널 사랑하는 거지
Rank 51 Artist : 방탄소년단, Title : Life Goes On
Rank 52 Artist : 방탄소년단, Title : 봄날
Rank 53 Artist : SG 워너비, Title : 내사람
Rank 54 Artist : Justin Bieber, Title : Off My Face
Rank 55 Artist : 아이유, Title : Coin
Rank 56 Artist : 아이유, Title : 어푸 (Ah puh)
Rank 57 Artist : Anne-Marie, Title : 2002
Rank 58 Artist : 미란이 (Mirani), Title : VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
Rank 59 Artist : 로제 (ROSÉ), Title : On The Ground
Rank 60 Artist : 이예준, Title : 그날에 나는 맘이 편했을까
Rank 61 Artist : 창모 (CHANGMO), Title : METEOR
Rank 62 Artist : Etham, Title : 12:45 (Stripped)
Rank 63 Artist : 장범준, Title : 흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
Rank 64 Artist : 김대명, Title : 가을 우체국 앞에서
Rank 65 Artist : 적재, Title : 나랑 같이 걸을래 (바른연애 길잡이 X 적재)
Rank 66 Artist : 폴킴, Title : 모든 날, 모든 순간 (Every day, Every Moment)
Rank 67 Artist : 로꼬, Title : 러브(Prod.로코베리)
Rank 68 Artist : 백지영, Title : 다시 사랑할 수 있을까
Rank 69 Artist : 오반 (OVAN), Title : 어떻게 지내 (Prod. By VAN.C)
Rank 70 Artist : Ed Sheeran, Title : Bad Habits
Rank 71 Artist : 오반 (OVAN), Title : 허리춤
Rank 72 Artist : #안녕, Title : 너의 번호를 누르고 (Prod. 영화처럼)
Rank 73 Artist : 스탠딩 에그, Title : 오래된 노래
Rank 74 Artist : Maroon 5, Title : Memories
Rank 75 Artist : 오마이걸 (OH MY GIRL), Title : 살짝 설렜어 (Nonstop)
Rank 76 Artist : Colde (콜드), Title : 또 새벽이 오면 (Feat. 백현 (BAEKHYUN))
Rank 77 Artist : 마크툽 (MAKTUB), Title : 오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
Rank 78 Artist : 장범준, Title : 나는 너 좋아
Rank 79 Artist : 임영웅, Title : 이제 나만 믿어요
Rank 80 Artist : MSG워너비(정상동기), Title : 체념
Rank 81 Artist : 노을, Title : 늦은 밤 너의 집 앞 골목길에서
Rank 82 Artist : 다비치, Title : 그냥 안아달란 말야
Rank 83 Artist : 경서예지, Title : 사실 나는 (Feat.전건호)
Rank 84 Artist : BLACKPINK, Title : How You Like That
Rank 85 Artist : 10CM, Title : 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
Rank 86 Artist : Tones And I, Title : Dance Monkey
Rank 87 Artist : 장범준, Title : 추적이는 여름 비가 되어
Rank 88 Artist : 런치, Title : Way Back Home (2021)
Rank 89 Artist : 임창정, Title : 힘든 건 사랑이 아니다
Rank 90 Artist : CHEEZE (치즈), Title : 이렇게 좋아해 본 적이 없어요
Rank 91 Artist : San E, Title : 한여름밤의 꿀 : 다시 여름
Rank 92 Artist : Lauv, Title : Paris In The Rain
Rank 93 Artist : 케이시 (Kassy), Title : 너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
Rank 94 Artist : 아이유, Title : 마음을 드려요
Rank 95 Artist : SG 워너비, Title : 살다가
Rank 96 Artist : Dua Lipa, Title : Don't Start Now
Rank 97 Artist : 폴킴, Title : 너를 만나
Rank 98 Artist : 아이유, Title : Love poem
Rank 99 Artist : 전상근, Title : 오늘따라 더 미운 그대가
Rank 100 Artist : 거미, Title : 지금 말해볼게요 (낮에 뜨는 달 X 거미)

